# Source: https://github.com/Wal33D/dtc-database
# Commit: 04c43d72e7db7197658b6f72fe582c5076d9eee8
# License: MIT
# Extracted: 2026-03-11T10:18:36Z
# Rows: 9390
B0081	AUDI	Wiring issues, Control module problems, A problem with the airbag
P1634	FORD	Data Output Link Circuit Failure
P1634	GM	Ignition 1 Power Circuit Low Voltage
P1634	GMC	Ignition 1 Power Circuit Low Voltage
P1634	KIA	Alternator B Open 1.8L
P1634	LINCOLN	Data Output Link Circuit Failure
P1634	MAZDA	Generator Terminal B Circuit Open
P1634	MERCURY	Data Output Link Circuit Failure
P1634	OLDSMOBILE	Ignition 1 Power Circuit Low Voltage
P1634	OTHER	Data Output Link Circuit Failure
P1634	SATURN	Ignition 1 Power Circuit Low Voltage
P1634	VOLKSWAGEN	Accelerator Pedal Position Sensor 2 Signal Too High
P1635	BMW	Throttle Valve Adaptation Lower Mechanical Stop Not Adapted
P1635	BUICK	5 Volt Reference 1 Circuit
P1635	CADILLAC	5 Volt Reference 1 Circuit
P1635	CHEVY	5 Volt Reference 1 Circuit
P1635	FORD	Tire Axle Ratio Out of Acceptable Range
P1635	GM	5 Volt Reference 1 Circuit
P1635	GMC	5 Volt Reference 1 Circuit
P1635	LINCOLN	Tire Axle Ratio Out of Acceptable Range
P1635	MERCURY	Tire Axle Ratio Out of Acceptable Range
P1635	OLDSMOBILE	5 Volt Reference 1 Circuit
P1635	OTHER	Tire / Axle Ratio Out of Acceptable Range
P1635	SATURN	5 Volt Reference 1 Circuit
P1635	VOLKSWAGEN	Data Bus Powertrain Missing Message From Air Condition Control
P1636	BMW	Throttle Valve Control Circuit
P1636	BUICK	PCM Stack Overrun
P1636	CADILLAC	PCM Stack Overrun
P1636	CHEVY	PCM Stack Overrun
P1636	FORD	Inductive Signature Chip Communication Error
P1636	GM	PCM Stack Overrun
P1636	GMC	PCM Stack Overrun
P1636	LINCOLN	Inductive Signature Chip Communication Error
P1636	MERCURY	Inductive Signature Chip Communication Error
P1636	OLDSMOBILE	PCM Stack Overrun
P1636	OTHER	Inductive Signature Chip Communication Error
P1636	SATURN	PCM Stack Overrun
P1636	VOLKSWAGEN	Data Bus Powertrain Missing Message From Airbag Control
P1637	BMW	Throttle Valve Position Control Control Deviation
P1637	BUICK	Generator L-Terminal Circuit
P1637	CADILLAC	Generator L-Terminal Circuit
P1637	CHEVY	Generator L-Terminal Circuit
P1637	GM	Generator L-Terminal Circuit
P1637	GMC	Generator L-Terminal Circuit
P1637	JAGUAR	CAN Link ECM ABS Control Module Circuit Network
P1637	OLDSMOBILE	Generator L-Terminal Circuit
P1637	OTHER	Can Link ECM/ABSCM Circuit / Network Malfunction
P1637	SATURN	Generator L-Terminal Circuit
P1637	VOLKSWAGEN	Data Bus Powertrain Missing Message From Central Electronic Control
P1638	BMW	Throttle Valve Position Control Throttle Stuck Temporarily
P1638	BUICK	Generator F-Terminal Circuit
P1638	CADILLAC	Generator F-Terminal Circuit
P1638	CHEVY	Generator F-Terminal Circuit
P1638	GM	Generator F-Terminal Circuit
P1638	GMC	Generator F-Terminal Circuit
P1638	JAGUAR	CAN Link ECM INSTM Circuit Network
P1638	OLDSMOBILE	Generator F-Terminal Circuit
P1638	OTHER	Can Link ECM/INSTM Circuit / Network Malfunction
P1638	SATURN	Generator F-Terminal Circuit
P1638	VOLKSWAGEN	Data Bus Powertrain Missing Message From Clutch Control
P1639	BMW	Throttle Valve Position Control Throttle Stuck Permanently
P1639	BUICK	5 Volt Reference 2 Circuit
P1639	CADILLAC	5 Volt Reference 2 Circuit
P1639	CHEVY	5 Volt Reference 2 Circuit
P1639	FORD	Vehicle ID Block Corrupted or Not Programmed
P1639	GM	5 Volt Reference 2 Circuit
P1639	GMC	5 Volt Reference 2 Circuit
P1639	LINCOLN	Vehicle ID Block Corrupted or Not Programmed
P1639	MERCURY	Vehicle ID Block Corrupted or Not Programmed
P1639	OLDSMOBILE	5 Volt Reference 2 Circuit
P1639	OTHER	Vehicle ID Block Corrupted or Not Programmed
P1639	SATURN	5 Volt Reference 2 Circuit
P1639	VOLKSWAGEN	Accelerator Pedal Position Sensor 1/2 Range Performance
P1640	BMW	Internal Control Module ROM RAM Error
P1640	BUICK	Driver 1 Input High Voltage
P1640	CADILLAC	Driver 1 Input High Voltage
P1640	CHEVY	Driver 1 Input High Voltage
P1640	FORD	Powertrain DTCs Available in Another Module
P1640	GM	Driver 1 Input High Voltage
P1640	GMC	Driver 1 Input High Voltage
P1640	LINCOLN	Powertrain DTCs Available in Another Module
P1640	MERCURY	Powertrain DTCs Available in Another Module
P1640	OLDSMOBILE	Driver 1 Input High Voltage
P1640	OTHER	Powertrain DTCs Available in Another Module
P1640	SATURN	Driver 1 Input High Voltage
P1640	VOLKSWAGEN	Internal Control Module EEPROM Error
P1641	BUICK	FC Relay 1 Control Circuit
P1641	CADILLAC	FC Relay 1 Control Circuit
P1641	CHEVY	FC Relay 1 Control Circuit
P1641	FORD	Fuel Pump Primary Circuit Failure
P1641	GM	FC Relay 1 Control Circuit
P1641	GMC	FC Relay 1 Control Circuit
P1641	JAGUAR	Fuel Pump Primary Circuit
P1641	LINCOLN	Fuel Pump Primary Circuit Failure
P1641	MERCURY	Fuel Pump Primary Circuit Failure
P1641	OLDSMOBILE	FC Relay 1 Control Circuit
P1641	OTHER	Fuel Pump Primary Circuit Failure
P1641	SATURN	FC Relay 1 Control Circuit
P1641	VOLKSWAGEN	Check DTC Memory Of Air Condition ECU
P1642	BUICK	FC Relay 2 And 3 Control Circuit
P1642	CADILLAC	FC Relay 2 And 3 Control Circuit
P1642	CHEVY	FC Relay 2 And 3 Control Circuit
P1642	FORD	Fuel Pump Monitor Circuit High Input
P1642	GM	FC Relay 2 And 3 Control Circuit
P1642	GMC	FC Relay 2 And 3 Control Circuit
P1642	JAGUAR	CAN Link Circuit
P1642	LINCOLN	Fuel Pump Monitor Circuit High Input
P1642	MERCURY	Fuel Pump Monitor Circuit High Input
P1642	OLDSMOBILE	FC Relay 2 And 3 Control Circuit
P1642	OTHER	Fuel Pump Monitor Circuit High Input
P1642	SATURN	FC Relay 2 And 3 Control Circuit
P1642	VOLKSWAGEN	Check DTC Memory Of Airbag ECU
P1643	BUICK	Engine Speed Output Circuit
P1643	CADILLAC	Engine Speed Output Circuit
P1643	CHEVY	Engine Speed Output Circuit
P1643	FORD	Fuel Pump Monitor Circuit Low Input
P1643	GM	Engine Speed Output Circuit
P1643	GMC	Engine Speed Output Circuit
P1643	JAGUAR	CAN Link Engine Control Module Transmission Control Module Circuit Network
P1643	LINCOLN	Fuel Pump Monitor Circuit Low Input
P1643	MERCURY	Fuel Pump Monitor Circuit Low Input
P1643	OLDSMOBILE	Engine Speed Output Circuit
P1643	OTHER	Fuel Pump Monitor Circuit Low Input
P1643	SATURN	Engine Speed Output Circuit
P1643	VOLKSWAGEN	Check DTC Memory Of Central ECU
P1644	BUICK	TP Output Circuit
P1644	CADILLAC	TP Output Circuit
P1644	CHEVY	TP Output Circuit
P1644	FORD	Fuel Pump Speed Control Circuit Malfunction
P1644	GM	TP Output Circuit
P1644	GMC	TP Output Circuit
P1644	LINCOLN	Fuel Pump Speed Control Circuit Malfunction
P1644	MERCURY	Fuel Pump Speed Control Circuit Malfunction
P1644	OLDSMOBILE	TP Output Circuit
P1644	OTHER	Fuel Pump Speed Control Circuit Malfunction
P1644	SATURN	TP Output Circuit
P1644	VOLKSWAGEN	Check DTC Memory Of Clutch ECU
P1645	BUICK	EVAP Solenoid Output Circuit
P1645	CADILLAC	EVAP Solenoid Output Circuit
P1645	CHEVY	EVAP Solenoid Output Circuit
P1645	GM	EVAP Solenoid Output Circuit
P1645	GMC	EVAP Solenoid Output Circuit
P1645	LEXUS	Body ECU Malfunction
P1645	MAZDA	Fuel Pump Resistor Switch Circuit
P1645	OLDSMOBILE	EVAP Solenoid Output Circuit
P1645	OTHER	Fuel Pump Resistor Switch Circuit Malfunction
P1645	SATURN	EVAP Solenoid Output Circuit
P1645	VOLKSWAGEN	Data Bus Powertrain Defect
P1646	BUICK	Driver 1 Line 6
P1646	CADILLAC	Driver 1 Line 6
P1646	CHEVY	Driver 1 Line 6
P1646	GM	Driver 1 Line 6
P1646	GMC	Driver 1 Line 6
P1646	JAGUAR	Linear O2 Sensor Control Chip Bank 1
P1646	OLDSMOBILE	Driver 1 Line 6
P1646	SATURN	Driver 1 Line 6
P1646	VOLKSWAGEN	Check DTC Memory Of All Wheel Drive ECU
P1647	BUICK	Driver 1 Line 7
P1647	CADILLAC	Driver 1 Line 7
P1647	CHEVY	Driver 1 Line 7
P1647	GM	Driver 1 Line 7
P1647	GMC	Driver 1 Line 7
P1647	JAGUAR	Linear O2 Sensor Control Chip Bank 2
P1647	OLDSMOBILE	Driver 1 Line 7
P1647	SATURN	Driver 1 Line 7
P1647	VOLKSWAGEN	Check Coding Of ECUs In Data Bus Powertrain
P1648	JAGUAR	Knock Sensor Input Chip
P1648	VOLKSWAGEN	Data Bus Powertrain Malfunction
P1649	MAZDA	Fuel Injection Pump Module
P1649	VOLKSWAGEN	Data Bus Powertrain Missing Message From Brake Controller
P1650	BUICK	Driver 2 Input High Voltage
P1650	CADILLAC	Driver 2 Input High Voltage
P1650	CHEVY	Driver 2 Input High Voltage
P1650	FORD	Power Steering Pressure Switch Out of Self-Test Range
P1650	GM	Driver 2 Input High Voltage
P1650	GMC	Driver 2 Input High Voltage
P1650	LINCOLN	Power Steering Pressure Switch Out of Self-Test Range
P1650	MAZDA	Power Steering Pressure Switch Out Of Range Fault
P1650	MERCURY	Power Steering Pressure Switch Out of Self-Test Range
P1650	OLDSMOBILE	Driver 2 Input High Voltage
P1650	OTHER	PSP Switch Out of Self Test Range
P1650	SATURN	Driver 2 Input High Voltage
P1650	VOLKSWAGEN	Data Bus Powertrain Missing Message From Instrument Panel ECU
P1651	BUICK	Fan 1 Relay Control Circuit
P1651	CADILLAC	Fan 1 Relay Control Circuit
P1651	CHEVY	Fan 1 Relay Control Circuit
P1651	FORD	Power Steering Pressure Switch Input Fault
P1651	GM	Fan 1 Relay Control Circuit
P1651	GMC	Fan 1 Relay Control Circuit
P1651	LINCOLN	Power Steering Pressure Switch Input Fault
P1651	MAZDA	Power Steering Pressure Switch Circuit
P1651	MERCURY	Power Steering Pressure Switch Input Fault
P1651	OLDSMOBILE	Fan 1 Relay Control Circuit
P1651	OTHER	PSP Switch Input Malfunction
P1651	SATURN	Fan 1 Relay Control Circuit
P1651	VOLKSWAGEN	Data Bus Powertrain Missing Messages
P1652	BUICK	Powertrain Induced Chassis Pitch Output Circuit
P1652	CADILLAC	Powertrain Induced Chassis Pitch Output Circuit
P1652	CHEVY	Powertrain Induced Chassis Pitch Output Circuit
P1652	GM	Powertrain Induced Chassis Pitch Output Circuit
P1652	GMC	Powertrain Induced Chassis Pitch Output Circuit
P1652	MAZDA	Power Steering Pressure Switch Circuit
P1652	OLDSMOBILE	Powertrain Induced Chassis Pitch Output Circuit
P1652	OTHER	IAC Monitor Disabled by PSP Switch Failed On
P1652	SATURN	Powertrain Induced Chassis Pitch Output Circuit
P1652	TOYOTA	Idle Air Control Valve Control Circuit
P1652	VOLKSWAGEN	Check DTC Memory Of Transmissions ECU
P1653	BUICK	Oil Level Lamp Control Circuit
P1653	CADILLAC	Oil Level Lamp Control Circuit
P1653	CHEVY	Oil Level Lamp Control Circuit
P1653	GM	Oil Level Lamp Control Circuit
P1653	GMC	Oil Level Lamp Control Circuit
P1653	OLDSMOBILE	Oil Level Lamp Control Circuit
P1653	OTHER	Power Steering Output Circuit Malfunction
P1653	SATURN	Oil Level Lamp Control Circuit
P1653	VOLKSWAGEN	Check DTC Memory Of Brake ECU
P1654	BUICK	Service Throttle Soon Lamp Control Circuit
P1654	CADILLAC	Service Throttle Soon Lamp Control Circuit
P1654	CHEVY	Service Throttle Soon Lamp Control Circuit
P1654	GM	Service Throttle Soon Lamp Control Circuit
P1654	GMC	Service Throttle Soon Lamp Control Circuit
P1654	OLDSMOBILE	Service Throttle Soon Lamp Control Circuit
P1654	OTHER	Recirculation Override Circuit Malfunction
P1654	SATURN	Service Throttle Soon Lamp Control Circuit
P1654	VOLKSWAGEN	Check DTC Memory Of Control Panel ECU
P1655	ACURA	TMA Or TMB Signal Line Fault
P1655	BUICK	EVAP Purge Solenoid Control Circuit
P1655	CADILLAC	EVAP Purge Solenoid Control Circuit
P1655	CHEVY	EVAP Purge Solenoid Control Circuit
P1655	GM	EVAP Purge Solenoid Control Circuit
P1655	GMC	EVAP Purge Solenoid Control Circuit
P1655	HONDA	TMA or TMB Signal Line Fault
P1655	INFINITI	TMA or TMB Signal Line Fault
P1655	KIA	Unused Power Stage 'B'
P1655	OLDSMOBILE	EVAP Purge Solenoid Control Circuit
P1655	OTHER	Starter Disable Circuit Malfunction
P1655	SATURN	EVAP Purge Solenoid Control Circuit
P1655	VOLKSWAGEN	Check DTC Memory Of Distance Control ECU
P1656	ACURA	Automatic Transmission System Malfunction
P1656	BUICK	Driver 2 Line 6
P1656	CADILLAC	Driver 2 Line 6
P1656	CHEVY	Driver 2 Line 6
P1656	FORD	CAN Link PCM PCM Circuit Network
P1656	GEO	Intake CMP Actuator Solenoid Control Circuit
P1656	GM	Driver 2 Line 6
P1656	GMC	Driver 2 Line 6
P1656	HONDA	Automatic Transmission System Malfunction
P1656	INFINITI	Automatic Transmission System Malfunction
P1656	LEXUS	OCV Circuit Malfunction Bank 1
P1656	LINCOLN	CAN Link PCM PCM Circuit Network
P1656	MERCURY	CAN Link PCM PCM Circuit Network
P1656	OLDSMOBILE	Driver 2 Line 6
P1656	SATURN	Driver 2 Line 6
P1656	TOYOTA	OCV Circuit
P1656	VOLKSWAGEN	A/C Clutch Relays Circuit Short To Ground
P1657	BUICK	1-4 Upshift Solenoid Control Circuit
P1657	CADILLAC	1-4 Upshift Solenoid Control Circuit
P1657	CHEVY	1-4 Upshift Solenoid Control Circuit
P1657	FORD	CAN Link Chip Malfunction
P1657	GM	1 4 Upshift Solenoid Control Circuit
P1657	GMC	1 4 Upshift Solenoid Control Circuit
P1657	LINCOLN	CAN Link Chip Malfunction
P1657	MERCURY	CAN Link Chip Malfunction
P1657	OLDSMOBILE	1-4 Upshift Solenoid Control Circuit
P1657	SATURN	1-4 Upshift Solenoid Control Circuit
P1657	VOLKSWAGEN	A/C Clutch Relays Circuit Short To B+
P1658	BUICK	Starter Enable Relay Control Circuit
P1658	CADILLAC	Starter Enable Relay Control Circuit
P1658	CHEVY	Starter Enable Relay Control Circuit
P1658	GM	Starter Enable Relay Control Circuit
P1658	GMC	Starter Enable Relay Control Circuit
P1658	OLDSMOBILE	Starter Enable Relay Control Circuit
P1658	SATURN	Starter Enable Relay Control Circuit
P1658	TOYOTA	Wastegate Valve Control Circuit
P1658	VOLKSWAGEN	Data Bus Powertrain Range Performance From Distance Control
P1660	ACURA	A/T FI Data Line Failure
P1660	BUICK	Cooling Fans Control Circuit
P1660	CADILLAC	Cooling Fans Control Circuit
P1660	CHEVY	Cooling Fans Control Circuit
P1660	FORD	Output Circuit Check Signal High
P1660	GM	Cooling Fans Control Circuit
P1660	GMC	Cooling Fans Control Circuit
P1660	HONDA	A/T FI Data Line Failure
P1660	INFINITI	A/T FI Data Line Failure
P1660	KIA	Power Stage Group 'B'
P1660	LINCOLN	Output Circuit Check Signal High
P1660	MERCURY	Output Circuit Check Signal High
P1660	OLDSMOBILE	Cooling Fans Control Circuit
P1660	OTHER	Output Circuit Check Signal High
P1660	SATURN	Cooling Fans Control Circuit
P1661	BUICK	MIL Control Circuit
P1661	CADILLAC	MIL Control Circuit
P1661	CHEVY	MIL Control Circuit
P1661	FORD	Output Circuit Check Signal Low
P1661	GM	MIL Control Circuit
P1661	GMC	MIL Control Circuit
P1661	LINCOLN	Output Circuit Check Signal Low
P1661	MERCURY	Output Circuit Check Signal Low
P1661	OLDSMOBILE	MIL Control Circuit
P1661	OTHER	Output Circuit Check Signal Low
P1661	SATURN	MIL Control Circuit
P1661	TOYOTA	EGR Circuit
P1662	BUICK	Cruise Control Inhibit Control Circuit
P1662	CADILLAC	Cruise Control Inhibit Control Circuit
P1662	CHEVY	Cruise Control Inhibit Control Circuit
P1662	FORD	IDM_EN Circuit Failure
P1662	GM	Cruise Control Inhibit Control Circuit
P1662	GMC	Cruise Control Inhibit Control Circuit
P1662	LINCOLN	IDM_EN Circuit Failure
P1662	MERCURY	IDM_EN Circuit Failure
P1662	OLDSMOBILE	Cruise Control Inhibit Control Circuit
P1662	OTHER	IDM_EN Circuit Failure
P1662	SATURN	Cruise Control Inhibit Control Circuit
P1662	TOYOTA	EGR Bypass Valve Control Circuit
P1663	BUICK	Oil Life Lamp Control Circuit
P1663	CADILLAC	Oil Life Lamp Control Circuit
P1663	CHEVY	Oil Life Lamp Control Circuit
P1663	FORD	Fuel Demand Command Signal Circuit Malfunction
P1663	GM	Oil Life Lamp Control Circuit
P1663	GMC	Oil Life Lamp Control Circuit
P1663	LEXUS	OCV Circuit Malfunction Bank 2
P1663	LINCOLN	Fuel Demand Command Signal Circuit Malfunction
P1663	MERCURY	Fuel Demand Command Signal Circuit Malfunction
P1663	OLDSMOBILE	Oil Life Lamp Control Circuit
P1663	OTHER	Fuel Demand Command Signal Circuit Malfunction
P1663	SATURN	Oil Life Lamp Control Circuit
P1664	BUICK	1-4 Upshift Lamp Control Circuit
P1664	CADILLAC	1-4 Upshift Lamp Control Circuit
P1664	CHEVY	1-4 Upshift Lamp Control Circuit
P1664	GM	1 4 Upshift Lamp Control Circuit
P1664	GMC	1 4 Upshift Lamp Control Circuit
P1664	OLDSMOBILE	1-4 Upshift Lamp Control Circuit
P1664	SATURN	1-4 Upshift Lamp Control Circuit
P1665	BUICK	Driver 3 Line 5
P1665	CADILLAC	Driver 3 Line 5
P1665	CHEVY	Driver 3 Line 5
P1665	GM	Driver 3 Line 5
P1665	GMC	Driver 3 Line 5
P1665	KIA	Power Stage Group 'A'
P1665	OLDSMOBILE	Driver 3 Line 5
P1665	SATURN	Driver 3 Line 5
P1666	BUICK	Driver 3 Line 6
P1666	CADILLAC	Driver 3 Line 6
P1666	CHEVY	Driver 3 Line 6
P1666	GM	Driver 3 Line 6
P1666	GMC	Driver 3 Line 6
P1666	OLDSMOBILE	Driver 3 Line 6
P1666	SATURN	Driver 3 Line 6
P1667	BUICK	Reverse Inhibit Solenoid Control Circuit
P1667	CADILLAC	Reverse Inhibit Solenoid Control Circuit
P1667	CHEVY	Reverse Inhibit Solenoid Control Circuit
P1667	FORD	CI Circuit Malfunction
P1667	GM	Reverse Inhibit Solenoid Control Circuit
P1667	GMC	Reverse Inhibit Solenoid Control Circuit
P1667	LINCOLN	CI Circuit Malfunction
P1667	MERCURY	CI Circuit Malfunction
P1667	OLDSMOBILE	Reverse Inhibit Solenoid Control Circuit
P1667	OTHER	CI Circuit Malfunction
P1667	SATURN	Reverse Inhibit Solenoid Control Circuit
P1668	FORD	PCM IDM Communications Error
P1668	LINCOLN	PCM IDM Communications Error
P1668	MERCURY	PCM IDM Communications Error
P1668	OTHER	PCM - IDM Communications Error
P1669	BUICK	ABS Unit Expected
P1669	CADILLAC	ABS Unit Expected
P1669	CHEVY	ABS Unit Expected
P1669	GM	ABS Unit Expected
P1669	GMC	ABS Unit Expected
P1669	OLDSMOBILE	ABS Unit Expected
P1669	SATURN	ABS Unit Expected
P1670	BUICK	Driver 4
P1670	CADILLAC	Driver 4
P1670	CHEVY	Driver 4
P1670	FORD	Electronic Feedback Signal Not Detected
P1670	GM	Driver 4
P1670	GMC	Driver 4
P1670	LINCOLN	Electronic Feedback Signal Not Detected
P1670	MERCURY	Electronic Feedback Signal Not Detected
P1670	OLDSMOBILE	Driver 4
P1670	OTHER	Electronic Feedback Signal Not Detected
P1670	SATURN	Driver 4
P1671	ACURA	A/T FI Data Line No Signal
P1671	BUICK	Driver 4 Line 1
P1671	CADILLAC	Driver 4 Line 1
P1671	CHEVY	Driver 4 Line 1
P1671	GM	Driver 4 Line 1
P1671	GMC	Driver 4 Line 1
P1671	HONDA	A/T FI Data Line No Signal
P1671	INFINITI	A/T FI Data Line No Signal
P1671	OLDSMOBILE	Driver 4 Line 1
P1671	SATURN	Driver 4 Line 1
P1672	ACURA	A/T FI Data Line Failure
P1672	BUICK	Low Engine Oil Level Lamp Control Circuit
P1672	CADILLAC	Low Engine Oil Level Lamp Control Circuit
P1672	CHEVY	Low Engine Oil Level Lamp Control Circuit
P1672	GM	Low Engine Oil Level Lamp Control Circuit
P1672	GMC	Low Engine Oil Level Lamp Control Circuit
P1672	HONDA	A/T FI Data Line Failure
P1672	INFINITI	A/T FI Data Line Failure
P1672	OLDSMOBILE	Low Engine Oil Level Lamp Control Circuit
P1672	SATURN	Low Engine Oil Level Lamp Control Circuit
P1673	BUICK	Engine Hot Lamp Control Circuit
P1673	CADILLAC	Engine Hot Lamp Control Circuit
P1673	CHEVY	Engine Hot Lamp Control Circuit
P1673	GM	Engine Hot Lamp Control Circuit
P1673	GMC	Engine Hot Lamp Control Circuit
P1673	OLDSMOBILE	Engine Hot Lamp Control Circuit
P1673	SATURN	Engine Hot Lamp Control Circuit
P1674	BUICK	Tachometer Control Circuit
P1674	CADILLAC	Tachometer Control Circuit
P1674	CHEVY	Tachometer Control Circuit
P1674	GM	Tachometer Control Circuit
P1674	GMC	Tachometer Control Circuit
P1674	OLDSMOBILE	Tachometer Control Circuit
P1674	SATURN	Tachometer Control Circuit
P1675	BUICK	EVAP Vent Solenoid Control Circuit
P1675	CADILLAC	EVAP Vent Solenoid Control Circuit
P1675	CHEVY	EVAP Vent Solenoid Control Circuit
P1675	GM	EVAP Vent Solenoid Control Circuit
P1675	GMC	EVAP Vent Solenoid Control Circuit
P1675	OLDSMOBILE	EVAP Vent Solenoid Control Circuit
P1675	SATURN	EVAP Vent Solenoid Control Circuit
P1676	ACURA	Traction Control System FI Data Line No Signal
P1676	BUICK	Driver 4 Line 6
P1676	CADILLAC	Driver 4 Line 6
P1676	CHEVY	Driver 4 Line 6
P1676	GM	Driver 4 Line 6
P1676	GMC	Driver 4 Line 6
P1676	HONDA	Traction Control System FI Data Line No Signal
P1676	INFINITI	Traction Control System FI Data Line No Signal
P1676	OLDSMOBILE	Driver 4 Line 6
P1676	SATURN	Driver 4 Line 6
P1676	VOLKSWAGEN	Drive By Wire MIL Circuit Electrical Malfunction
P1677	ACURA	Traction Control System FI Data Line Failure
P1677	BUICK	Driver 4 Line 7
P1677	CADILLAC	Driver 4 Line 7
P1677	CHEVY	Driver 4 Line 7
P1677	GM	Driver 4 Line 7
P1677	GMC	Driver 4 Line 7
P1677	HONDA	Traction Control System FI Data Line Failure
P1677	INFINITI	Traction Control System FI Data Line Failure
P1677	OLDSMOBILE	Driver 4 Line 7
P1677	SATURN	Driver 4 Line 7
P1677	VOLKSWAGEN	Drive By Wire MIL Circuit Short To B+
P1678	ACURA	FPTDR Signal Line Failure
P1678	HONDA	FPTDR Signal Line Failure
P1678	INFINITI	FPTDR Signal Line Failure
P1678	VOLKSWAGEN	Drive By Wire MIL Circuit Short To Ground
P1679	VOLKSWAGEN	Drive By Wire MIL Circuit Open Circuit
P1680	BUICK	Driver 5
P1680	CADILLAC	Driver 5
P1680	CHEVY	Driver 5
P1680	CHRYSLER	Clutch Released Switch Circuit Open Or Shorted
P1680	DODGE	Clutch Released Switch Circuit Open Or Shorted
P1680	GM	Driver 5
P1680	GMC	Driver 5
P1680	JEEP	Clutch Released Switch Circuit Open Or Shorted
